repo,dependency_file,affected_test_file,bypass_method,commit_hash,commit_date,commit_author,commit_message,total_commits_to_file,description
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,b3ee53dd9485c174c02747215998f8f393205f28,2016-05-23T15:26:48-04:00,Thomas A Caswell,ENH: rcparam for padding between axes and title,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,52bf093b2ce79769e82c05584b94af7aa457a75d,2016-05-14T14:03:48-10:00,Eric Firing,"Legend default style change: smaller, no border",69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),5d73e9f6539c7f5ce7b0946b89773025ba8438ea,2016-05-11T17:22:48-04:00,Federico Ariza,ToolManager and Tools can be initialized without tools,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/tests/baseline_images/test_axes/bxp_horizontal.png,lib/matplotlib/tests/test_axes.py,image comparison (runtime file read),bb0b94b455a76fea5b0e69ef33abd9c8484b45c4,2016-05-10T11:40:07-07:00,paul,TST: new boxplot/bxp test images,6,Baseline image for visual comparison
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,ad81e3f37a49e25503aea7fcc61d5316ae4bb395,2016-04-28T19:13:37-07:00,Thomas A Caswell,Merge pull request #6328 from benjamincongdon/ft-scatter-marker-rc,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,f0dcc36dd78b2412e897c37e8e5c64eaac54ae17,2016-04-26T09:43:20-05:00,Benjamin Congdon,Add 'scatter.marker' to matplotlibrc.template and classic style sheet,69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),bdc3b2565f0ffc29bdc1971857fbb34aed9ec97e,2016-04-11T20:56:55+01:00,Jens Hedegaard Nielsen,Merge pull request #6283 from mdboom/macagg-events,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,f367f7bc4392fd54e9c3efd1ea705ae48535517e,2016-04-11T18:21:07-04:00,Thomas A Caswell,Merge pull request #6198 from mdboom/hatch-edge-width,69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),ee192c38980201d921679d0d765268ecdcc3f2f9,2016-04-08T12:01:20-04:00,Michael Droettboom,Don't explicitly unstale the figure,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),c4614b4947f00c53e50a6ab1321a2651595d98a2,2016-04-08T11:56:22-04:00,Michael Droettboom,Use figure.stale instead of canvas._needs_draw,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),e981e1e3c0aba10f679675bd564ebfca14a20dfc,2016-03-28T09:12:47-10:00,Eric Firing,Merge pull request #6178 from mdboom/macagg,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,3b2e7e9a4bd21628cd9ddea18ed823ee5ee52719,2016-03-21T18:24:51-04:00,Michael Droettboom,Make hatch linewidth an rcParam,69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),cf435b8f1c6eac6e1c5904f13b6b72f628dc77ed,2016-03-21T13:57:55-04:00,Michael Droettboom,Simplify,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),142d9fc1053f3345e5d6af13eca9acc2cda8a2b2,2016-03-21T11:54:07-04:00,Michael Droettboom,Make animation work in OSX backend,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_macosx.py,lib/matplotlib/tests/test_backend_macosx.py,subprocess (subprocess_run_helper),eea4d80edbb39cc76fbfaece74a770c3b4e2f682,2016-03-17T18:01:25-04:00,Michael Droettboom,Use Agg for rendering in the Mac OSX backend,146,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/bmh.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,daa9b5185e67e19652e06546171af547add52927,2016-02-17T21:48:13-05:00,Elliott Sales de Andrade,STY: Fix grid and tick direction in bmh style.,4,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/fivethirtyeight.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,daa9b5185e67e19652e06546171af547add52927,2016-02-17T21:48:13-05:00,Elliott Sales de Andrade,STY: Fix grid and tick direction in bmh style.,5,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,659513951920d83fe6ef68ec40dd72f7bd6d6653,2016-02-17T21:35:50-05:00,Thomas A Caswell,Merge pull request #5718 from mdboom/image-interpolation,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,069785dc4551ad6f4ef7658a9b579a8854054576,2016-02-08T10:38:11-10:00,Eric Firing,Merge pull request #5926 from mdboom/new-dash-styles,69,Style file loaded via package resources
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),07d17bac7c071cb71f3cceaaacdd92187df974ff,2016-02-03T16:43:11Z,Phil Elson,Merge pull request #5951 from efiring/tk_raise,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/backends/backend_tkagg.py,lib/matplotlib/tests/test_backend_tk.py,subprocess (subprocess_run_helper),68f86b37bb294913513b7ee5106a5aaa1558969e,2016-01-31T08:38:13-10:00,Eric Firing,tkagg: raise each new window; partially addresses #596,239,Backend code executed in subprocess
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,cb52bc07c267f20dc3b4ce0d4e3243570fcde414,2016-01-27T12:03:17-05:00,Michael Droettboom,Fix #5917. New dash patterns. Scale dashes by lw,69,Style file loaded via package resources
matplotlib,lib/matplotlib/mpl-data/stylelib/classic.mplstyle,lib/matplotlib/tests/test_style.py,importlib.resources,82558eea60d1af12a8a96c3e98a8985a03c10826,2016-01-21T15:06:12-05:00,Michael Droettboom,Revert some changes caught by @QuLogic in review,69,Style file loaded via package resources
